metric,Block_Id,Terr_Id,report_dt,val
universalis,Тета,A-876,4/30/2015,93578.96164
universalis,Эта,A-870,11/30/2015,94354.24027
universalis,Лямбда,F-850,3/31/2016,94365.71931
universalis,Тета,A-917,2/28/2015,95040.77859
universalis,Эта,A-870,9/30/2015,95137.75918
universalis,Лямбда,A-969,8/31/2015,95194.81206
universalis,Тета,A-917,7/31/2014,95316.69153
universalis,Лямбда,F-850,11/30/2016,95753.28092
universalis,Тета,F-943,5/31/2016,96079.47412
universalis,Тета,C-678,9/30/2015,96087.37485
universalis,Лямбда,A-969,11/30/2015,96876.83659
universalis,Лямбда,F-850,1/31/2017,96896.92717
universalis,Эта,A-870,6/30/2015,97033.51437
universalis,Тета,A-876,5/31/2015,97208.01822
universalis,Тета,A-917,12/31/2014,97853.64081
universalis,Лямбда,A-969,10/31/2015,98129.42722
universalis,Тета,A-917,5/31/2015,98577.45918
universalis,Тета,A-917,4/30/2015,98586.57783
universalis,Тета,E-938,3/31/2015,98665.59442
universalis,Тета,D-602,10/31/2017,98675.57587
universalis,Лямбда,F-850,12/31/2015,99082.38179
universalis,Тета,C-678,11/30/2015,99518.31791
universalis,Тета,B-935,8/31/2016,99672.53383
universalis,Лямбда,A-969,2/28/2016,99906.23416
universalis,Тета,C-678,7/31/2015,100304.2597
universalis,Тета,F-943,6/30/2016,100652.5959
universalis,Эта,A-870,7/31/2015,101498.8866
universalis,Тета,E-938,4/30/2015,101564.9198
universalis,Эта,A-870,10/31/2015,102569.2456
universalis,Тета,C-678,10/31/2015,102827.8209
universalis,Лямбда,A-969,1/31/2016,102971.5633
universalis,Тета,D-602,1/31/2018,103219.9784
universalis,Тета,B-935,10/31/2016,103472.0773
universalis,Тета,E-938,5/31/2015,103723.6582
universalis,Тета,A-876,6/30/2015,103987.2424
universalis,Лямбда,F-850,6/30/2017,104081.6377
universalis,Тета,D-602,11/30/2017,104259.725
universalis,Тета,B-935,11/30/2016,104263.7445
universalis,Тета,E-938,12/31/2014,104441.7397
universalis,Тета,D-602,4/30/2018,105007.303
universalis,Тета,A-876,12/31/2014,105863.8077
universalis,Лямбда,F-850,7/31/2017,106070.9624
universalis,Тета,C-678,8/31/2015,106200.7546
universalis,Тета,A-917,3/31/2015,106301.0974
universalis,Эта,A-870,8/31/2015,106688.9158
universalis,Лямбда,F-850,2/28/2017,106823.8259
universalis,Дзета,B-636,4/30/2014,107548.6692
universalis,Дзета,B-636,3/31/2014,107762.2566
universalis,Тета,F-943,9/30/2016,107870.8871
universalis,Эта,A-870,2/28/2016,108050.3805
universalis,Эта,D-751,4/30/2014,108286.5896
universalis,Тета,F-943,2/28/2017,108844.1035
universalis,Тета,A-917,6/30/2015,108957.4597
universalis,Лямбда,F-850,8/31/2017,109370.3189
universalis,Эта,A-870,1/31/2016,109928.6282
universalis,Эта,D-751,3/31/2014,110321.1107
universalis,Тета,F-943,10/31/2016,110537.4654
universalis,Тета,F-943,7/31/2016,111404.7705
universalis,Тета,F-943,11/30/2016,111697.2737
universalis,Лямбда,F-850,9/30/2017,112350.0039
universalis,Тета,D-602,3/31/2018,112665.2187
